text,labels,risk_level
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient presents with chest pain. ECG shows ST elevation. Initiated cardiac catheterization.,hallucination,low
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy.,hallucination,low
Diabetes patient shows HbA1c of 8.2%. Adjusted insulin regimen accordingly.,hallucination,low
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment.,hallucination,low
Patient reports fever and cough. Influenza test positive. Prescribed antiviral medication.,hallucination,low
Annual physical examination completed. All vital signs within normal limits.,hallucination,low
Colonoscopy reveals benign polyp. Removed during procedure. Follow-up in 5 years.,hallucination,low
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly.,hallucination,low
Mammography shows no abnormalities. Next screening recommended in one year.,hallucination,low
Patient education provided for diabetes management. Follow-up scheduled.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 0.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 1.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 2.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 3.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 4.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 5.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 6.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 7.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 8.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 9.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 10.,hallucination,high
